id,Time(days),logscale,org,control,strain,avg_log,avg_exp,treatment,method,oriSource
ROS_N_2011,0,T,Pro,F,UH18301,5.1111,129151.6622,50,flow,Morris_et_al_2011
ROS_N_2011,0.259245833,T,Pro,F,UH18301,5.0462,111224.3817,50,flow,Morris_et_al_2011
ROS_N_2011,0.499841667,T,Pro,F,UH18301,5.1404,138165.6231,50,flow,Morris_et_al_2011
ROS_N_2011,1.006583333,T,Pro,F,UH18301,5.2538,179390.7312,50,flow,Morris_et_al_2011
ROS_N_2011,2.002195833,T,Pro,F,UH18301,5.2187,165462.6593,50,flow,Morris_et_al_2011
ROS_N_2011,0,T,Pro,F,UH18301,5.1111,129151.6622,200,flow,Morris_et_al_2011
ROS_N_2011,0.259245833,T,Pro,F,UH18301,5.0462,111224.3817,200,flow,Morris_et_al_2011
ROS_N_2011,0.499766667,T,Pro,F,UH18301,5.1123,129509.0149,200,flow,Morris_et_al_2011
ROS_N_2011,0.997795833,T,Pro,F,UH18301,5.1789,150973.2485,200,flow,Morris_et_al_2011
ROS_N_2011,2.001541667,T,Pro,F,UH18301,4.9754,94493.0789,200,flow,Morris_et_al_2011
ROS_N_2011,0,T,Pro,F,UH18301,5.1111,129151.6622,400,flow,Morris_et_al_2011
ROS_N_2011,0.259245833,T,Pro,F,UH18301,5.0462,111224.3817,400,flow,Morris_et_al_2011
ROS_N_2011,0.4995125,T,Pro,F,UH18301,5.0187,104399.8801,400,flow,Morris_et_al_2011
ROS_N_2011,0.997266667,T,Pro,F,UH18301,4.9824,96028.46792,400,flow,Morris_et_al_2011
ROS_N_2011,1.998733333,T,Pro,F,UH18301,3.9275,8462.525688,400,flow,Morris_et_al_2011
ROS_N_2011,0,T,Pro,F,UH18301,5.1111,129151.6622,800,flow,Morris_et_al_2011
ROS_N_2011,0.250583333,T,Pro,F,UH18301,5.0181,104255.7459,800,flow,Morris_et_al_2011
ROS_N_2011,0.4991875,T,Pro,F,UH18301,4.8971,78904.17803,800,flow,Morris_et_al_2011
ROS_N_2011,0.996441667,T,Pro,F,UH18301,4.6737,47173.70643,800,flow,Morris_et_al_2011
ROS_N_2011,1.996675,T,Pro,F,UH18301,3.1602,1446.105574,800,flow,Morris_et_al_2011
ROS_N_2011,0,T,Pro,F,UH18301,5.055,113501.0816,10000,flow,Morris_et_al_2011
ROS_N_2011,0.249608333,T,Pro,F,UH18301,4.6532,44998.70339,10000,flow,Morris_et_al_2011
ROS_N_2011,0.5057875,T,Pro,F,UH18301,4.1579,14384.67321,10000,flow,Morris_et_al_2011
ROS_N_2011,1.002366667,T,Pro,F,UH18301,3.6819,4807.286438,10000,flow,Morris_et_al_2011
ROS_N_2011,1.995345833,T,Pro,F,UH18301,2.6643,461.6363515,10000,flow,Morris_et_al_2011
